ID,category,average_score
966,Movies & TV,4.8
967,Movies & TV,4.6
968,Movies & TV,4.5
969,Movies & TV,5.0
970,Movies & TV,2.8
971,Movies & TV,4.6
972,Movies & TV,4.0
973,Movies & TV,3.4
974,Movies & TV,4.8
975,Movies & TV,5.0
976,Movies & TV,4.0
977,Movies & TV,5.0
978,Movies & TV,3.3333333333333335
979,Movies & TV,4.6
980,Movies & TV,4.875
981,Movies & TV,3.0
982,Movies & TV,4.75
983,Movies & TV,4.4
984,Movies & TV,5.0
985,Movies & TV,5.0
986,Movies & TV,4.5
987,Movies & TV,5.0
988,Movies & TV,5.0
989,Movies & TV,4.166666666666667
990,Movies & TV,4.6
991,Movies & TV,4.4
992,Movies & TV,2.1
993,Movies & TV,4.8
994,Movies & TV,5.0
995,Movies & TV,3.4
996,Musical Instruments,4.9
997,Musical Instruments,4.7
998,Musical Instruments,4.9
999,Musical Instruments,5.0
1000,Musical Instruments,4.7
1001,Musical Instruments,5.0
1002,Musical Instruments,5.0
1003,Musical Instruments,5.0
1004,Musical Instruments,4.9
1005,Musical Instruments,4.6
1006,Musical Instruments,4.8
1007,Musical Instruments,3.6
1008,Musical Instruments,5.0
1009,Musical Instruments,5.0
1010,Musical Instruments,4.6
1011,Musical Instruments,4.2
1012,Musical Instruments,4.3
1013,Musical Instruments,5.0
1014,Musical Instruments,4.5
1015,Musical Instruments,5.0
1016,Musical Instruments,5.0
1017,Musical Instruments,4.7
1018,Musical Instruments,4.6
1019,Musical Instruments,4.4
1020,Musical Instruments,4.1
1021,Musical Instruments,5.0
1022,Musical Instruments,4.7
1023,Musical Instruments,4.6
1024,Musical Instruments,5.0
1025,Musical Instruments,4.4
1026,Musical Instruments,0.0
1027,Musical Instruments,5.0
1028,Musical Instruments,5.0
1029,Musical Instruments,4.9
1030,Musical Instruments,5.0
1031,Musical Instruments,5.0
1032,Musical Instruments,4.5
1033,Musical Instruments,4.5
1034,Musical Instruments,5.0
1035,Musical Instruments,5.0
1036,Musical Instruments,4.9
1037,Musical Instruments,5.0
1038,Musical Instruments,4.8
1039,Musical Instruments,4.6
1040,Musical Instruments,4.9
1041,Musical Instruments,5.0
1042,Musical Instruments,4.6
1043,Musical Instruments,4.7
1044,Musical Instruments,4.6
1045,Musical Instruments,4.7
1046,Office Products,0.0
1047,Office Products,3.9
1048,Office Products,4.0
1049,Office Products,5.0
1050,Office Products,5.0
1051,Office Products,4.1
1052,Office Products,3.3
1053,Office Products,4.3
1054,Office Products,5.0
1055,Office Products,4.8
1056,Office Products,4.6
1057,Office Products,5.0
1058,Office Products,5.0
1059,Office Products,5.0
1060,Office Products,4.6
1061,Office Products,5.0
1062,Office Products,4.1
1063,Office Products,4.1
1064,Office Products,4.9
1065,Office Products,4.4
1066,Office Products,5.0
1067,Office Products,5.0
1068,Office Products,4.6
1069,Office Products,4.6
1070,Office Products,4.8
1071,Office Products,5.0
1072,Office Products,3.3
1073,Office Products,4.6
1074,Office Products,0.0
1075,Office Products,5.0
1076,"Patio, Lawn & Garden",4.6
1077,"Patio, Lawn & Garden",3.8
1078,"Patio, Lawn & Garden",3.8
1079,"Patio, Lawn & Garden",3.8
1080,"Patio, Lawn & Garden",3.2
1081,"Patio, Lawn & Garden",3.9
1082,"Patio, Lawn & Garden",5.0
1083,"Patio, Lawn & Garden",4.4
1084,"Patio, Lawn & Garden",3.0
1085,"Patio, Lawn & Garden",4.9
1086,"Patio, Lawn & Garden",4.0
1087,"Patio, Lawn & Garden",3.4
1088,"Patio, Lawn & Garden",4.3
1089,"Patio, Lawn & Garden",4.4
1090,"Patio, Lawn & Garden",4.5
1091,"Patio, Lawn & Garden",4.6
1092,"Patio, Lawn & Garden",4.1
1093,"Patio, Lawn & Garden",2.8
1094,"Patio, Lawn & Garden",2.9
1095,"Patio, Lawn & Garden",4.2
1096,"Patio, Lawn & Garden",4.5
1097,"Patio, Lawn & Garden",4.8
1098,"Patio, Lawn & Garden",3.0
1099,"Patio, Lawn & Garden",4.2
1100,"Patio, Lawn & Garden",4.6
1101,"Patio, Lawn & Garden",4.2
1102,"Patio, Lawn & Garden",5.0
1103,"Patio, Lawn & Garden",4.1
1104,"Patio, Lawn & Garden",4.6
1105,"Patio, Lawn & Garden",3.7
1106,Pet Supplies,3.4
1107,Pet Supplies,3.8
1108,Pet Supplies,5.0
1109,Pet Supplies,4.4
1110,Pet Supplies,2.4
1111,Pet Supplies,4.6
1112,Pet Supplies,4.2
1113,Pet Supplies,2.7
1114,Pet Supplies,4.6
1115,Pet Supplies,2.7
1116,Pet Supplies,4.7
1117,Pet Supplies,5.0
1118,Pet Supplies,4.6
1119,Pet Supplies,4.2
1120,Pet Supplies,3.5
1121,Pet Supplies,4.5
1122,Pet Supplies,3.7
1123,Pet Supplies,4.6
1124,Pet Supplies,3.7
1125,Pet Supplies,4.9
1126,Pet Supplies,0.0
1127,Pet Supplies,4.3
1128,Pet Supplies,4.5
1129,Pet Supplies,4.2
1130,Pet Supplies,4.2
1131,Pet Supplies,4.2
1132,Pet Supplies,4.2
1133,Pet Supplies,3.4
1134,Pet Supplies,4.4
1135,Pet Supplies,3.0
1136,Software,3.0
1137,Software,3.1
1138,Software,4.2
1139,Software,2.9
1140,Software,2.9
1141,Software,4.2
1142,Software,3.7
1143,Software,4.1
1144,Software,4.2
1145,Software,4.7
1146,Software,2.1
1147,Software,3.2
1148,Software,2.2
1149,Software,1.5
1150,Software,3.4
1151,Software,3.4444444444444446
1152,Software,4.6
1153,Software,5.0
1154,Software,4.2
1155,Software,4.4
1156,Software,3.4
1157,Software,0.0
1158,Software,4.6
1159,Software,2.8
1160,Software,3.1
1161,Software,4.3
1162,Software,4.7
1163,Software,4.5
1164,Software,4.6
1165,Software,4.6
1166,Sports & Outdoors,4.2
1167,Sports & Outdoors,0.0
1168,Sports & Outdoors,4.4
1169,Sports & Outdoors,3.3
1170,Sports & Outdoors,4.7
1171,Sports & Outdoors,4.7
1172,Sports & Outdoors,3.8
1173,Sports & Outdoors,4.8
1174,Sports & Outdoors,4.2
1175,Sports & Outdoors,4.4
1176,Sports & Outdoors,4.2
1177,Sports & Outdoors,3.1
1178,Sports & Outdoors,3.3
1179,Sports & Outdoors,4.6
1180,Sports & Outdoors,4.3
1181,Sports & Outdoors,2.4
1182,Sports & Outdoors,4.6
1183,Sports & Outdoors,4.2
1184,Sports & Outdoors,4.7
1185,Sports & Outdoors,4.6
1186,Sports & Outdoors,1.6
1187,Sports & Outdoors,4.6
1188,Sports & Outdoors,5.0
1189,Sports & Outdoors,4.6
1190,Sports & Outdoors,4.7
1191,Sports & Outdoors,5.0
1192,Sports & Outdoors,1.9
1193,Sports & Outdoors,5.0
1194,Sports & Outdoors,0.0
1195,Sports & Outdoors,2.9
1196,Sports Collectibles,4.7
1197,Sports Collectibles,2.5
1198,Sports Collectibles,4.3
1199,Sports Collectibles,5.0
1200,Sports Collectibles,5.0
1201,Sports Collectibles,0.0
1202,Sports Collectibles,0.0
1203,Sports Collectibles,5.0
1204,Sports Collectibles,0.0
1205,Sports Collectibles,3.875
1206,Sports Collectibles,5.0
1207,Sports Collectibles,3.5714285714285716
1208,Sports Collectibles,3.9
1209,Sports Collectibles,3.2
1210,Sports Collectibles,3.5
1211,Sports Collectibles,3.5
1212,Sports Collectibles,4.8
1213,Sports Collectibles,5.0
1214,Sports Collectibles,0.0
1215,Sports Collectibles,4.0
1216,Sports Collectibles,4.0
1217,Sports Collectibles,4.8
1218,Sports Collectibles,4.0
1219,Sports Collectibles,0.0
1220,Sports Collectibles,5.0
1221,Sports Collectibles,5.0
1222,Sports Collectibles,5.0
1223,Sports Collectibles,5.0
1224,Sports Collectibles,5.0
1225,Sports Collectibles,3.2
1226,Tools & Home Improvement,2.5
1227,Tools & Home Improvement,2.5
1228,Tools & Home Improvement,2.8
1229,Tools & Home Improvement,4.6
1230,Tools & Home Improvement,5.0
1231,Tools & Home Improvement,0.0
1232,Tools & Home Improvement,4.2
1233,Tools & Home Improvement,3.7
1234,Tools & Home Improvement,4.9
1235,Tools & Home Improvement,3.3
1236,Tools & Home Improvement,5.0
1237,Tools & Home Improvement,4.8
1238,Tools & Home Improvement,3.1
1239,Tools & Home Improvement,0.0
1240,Tools & Home Improvement,2.5
1241,Tools & Home Improvement,4.2
1242,Tools & Home Improvement,3.7
1243,Tools & Home Improvement,3.9
1244,Tools & Home Improvement,4.1
1245,Tools & Home Improvement,2.7
1246,Tools & Home Improvement,4.2
1247,Tools & Home Improvement,3.3
1248,Tools & Home Improvement,3.8
1249,Tools & Home Improvement,3.6
1250,Tools & Home Improvement,4.6
1251,Tools & Home Improvement,4.3
1252,Tools & Home Improvement,3.3
1253,Tools & Home Improvement,4.8
1254,Tools & Home Improvement,2.2
1255,Tools & Home Improvement,1.9
1256,Toys & Games,4.6
1257,Toys & Games,4.7
1258,Toys & Games,5.0
1259,Toys & Games,3.8
1260,Toys & Games,5.0
1261,Toys & Games,0.0
1262,Toys & Games,4.6
1263,Toys & Games,4.7
1264,Toys & Games,4.5
1265,Toys & Games,4.6
1266,Toys & Games,4.3
1267,Toys & Games,5.0
1268,Toys & Games,5.0
1269,Toys & Games,4.9
1270,Toys & Games,5.0
1271,Toys & Games,5.0
1272,Toys & Games,0.0
1273,Toys & Games,5.0
1274,Toys & Games,5.0
1275,Toys & Games,4.9
1276,Toys & Games,4.8
1277,Toys & Games,0.0
1278,Toys & Games,4.9
1279,Toys & Games,5.0
1280,Toys & Games,5.0
1281,Toys & Games,0.0
1282,Toys & Games,4.9
1283,Toys & Games,5.0
1284,Toys & Games,4.0
1285,Toys & Games,3.5
1286,Video Games,0.0
1287,Video Games,4.1
1288,Video Games,4.6
1289,Video Games,3.6
1290,Video Games,4.6
1291,Video Games,3.6
1292,Video Games,1.8
1293,Video Games,4.0
1294,Video Games,4.6
1295,Video Games,3.4
1296,Video Games,4.5
1297,Video Games,4.5
1298,Video Games,3.0
1299,Video Games,4.8
1300,Video Games,3.2
1301,Video Games,4.0
1302,Video Games,3.2
1303,Video Games,2.3
1304,Video Games,4.1
1305,Video Games,4.3
1306,Video Games,4.0
1307,Video Games,5.0
1308,Video Games,4.7
1309,Video Games,4.6
1310,Video Games,4.9
1311,Video Games,3.6
1312,Video Games,2.8
1313,Video Games,3.6
1314,Video Games,4.0
1315,Video Games,4.9
